hx,E0,E0_per_site,residual_norm,elapsed_seconds,rss_GiB
0,-30.579576597356976,-1.2741490248898739,2.67159185e-12,12.411716,1.286900
0.02,-30.89238838183681,-1.2871828492432005,1.33489768e-12,8.156995,1.384678
0.04,-31.258377384848941,-1.3024323910353726,3.66154886e-12,7.067370,1.395367
0.06,-31.637133919192237,-1.3182139132996766,3.03976455e-11,5.784745,1.404636
0.08,-32.024333195028746,-1.3343472164595311,6.57748269e-12,5.887470,1.408619
0.1,-32.417879832473432,-1.3507449930197264,7.34920392e-13,5.787875,1.411301
0.12,-32.816517953186725,-1.3673549147161135,1.93584494e-11,4.729097,1.411301
0.14,-33.219406375449488,-1.3841419323103954,8.94105429e-12,4.603850,1.411301
0.16,-33.625940622867454,-1.4010808592861439,3.08779606e-12,4.794435,1.413929
0.18,-34.035664544123364,-1.4181526893384735,1.24710238e-12,4.656596,1.413929
0.2,-34.448221267133796,-1.4353425527972414,5.25128818e-13,4.764544,1.416611
0.22,-34.863323728417321,-1.4526384886840551,2.70277568e-13,4.726776,1.416611
0.24,-35.280735868766442,-1.4700306611986018,3.50078227e-11,3.569444,1.416611
0.26,-35.700260056192562,-1.48751083567469,1.42034306e-13,4.866410,1.416611
0.28,-36.121728348194324,-1.5050720145080969,1.25602321e-11,3.675537,1.416611
0.3,-36.544996228153245,-1.5227081761730519,1.95522947e-11,3.508590,1.416611
0.32,-36.969937995642738,-1.5404140831517807,1.33667674e-11,3.610243,1.416611
0.34,-37.396443297072793,-1.5581851373780331,8.41935935e-12,3.510210,1.416611
0.36,-37.824414463633914,-1.5760172693180798,5.67950468e-12,3.506352,1.416611
0.38,-38.253764433998874,-1.5939068514166197,3.78147883e-12,3.538597,1.419258
0.4,-38.684415109145498,-1.6118506295477291,2.53248993e-12,3.538303,1.419258
0.42,-39.116296032189332,-1.6298456680078888,1.66534811e-12,3.678118,1.419258
0.44,-39.549343316529985,-1.647889304855416,1.15534079e-12,3.715231,1.419258
0.46,-39.983498766392572,-1.6659791152663572,7.54645779e-13,3.642937,1.419262
0.48,-40.418709148333591,-1.6841128811805663,4.60171011e-13,3.569105,1.419262
0.5,-40.854925582563482,-1.702288565940145,3.38331673e-13,3.539093,1.419262
0.52,-41.292103030359179,-1.7205042929316325,2.04615711e-13,3.628024,1.419262
0.54,-41.730199859272012,-1.7387583274696672,1.70157229e-13,3.646342,1.419262
0.56,-42.169177471870675,-1.7570490613279448,1.26161336e-13,3.601927,1.419262
0.58,-42.608999986792405,-1.7753749994496835,9.83913273e-14,3.602932,1.419262
0.6,-43.049633963174919,-1.7937347484656216,7.67236057e-14,3.575652,1.419262
0.62,-43.491048161317401,-1.8121270067215585,6.38233142e-14,3.574364,1.419262
0.64,-43.933213333788004,-1.8305505555745001,6.32349517e-14,3.571942,1.419262
0.66,-44.376102042271995,-1.8490042517613332,3.45936443e-11,2.415710,1.419262
0.68,-44.819688496302007,-1.8674870206792502,1.37654572e-13,3.504294,1.419262
0.7,-45.263948410688407,-1.8859978504453503,3.54362403e-11,2.416169,1.419262
0.72,-45.708858879006002,-1.9045357866252501,9.55337279e-14,3.503700,1.419262
0.74,-46.154398260933291,-1.9230999275388871,2.43852089e-11,2.520609,1.419262
0.76,-46.600546081591126,-1.9416894200662969,7.69449193e-14,3.544921,1.421890
0.78,-47.047282941321299,-1.9603034558883874,1.89686031e-11,2.561898,1.421890
0.8,-47.494590434580033,-1.9789412681075014,5.19696191e-14,3.507951,1.421890
0.82,-47.942451076820575,-1.9976021282008574,1.23811443e-11,2.451452,1.421890
0.84,-48.390848238401354,-2.0162853432667229,3.58194722e-11,2.418753,1.421917
0.86,-48.839766084692705,-2.0349902535288629,5.29827131e-14,3.639140,1.421917
0.88,-49.289189521670124,-2.0537162300695884,8.48570144e-12,2.484247,1.421917
0.9,-49.739104146376512,-2.0724626727656879,2.67588645e-11,2.455408,1.421917
0.92,-50.189496201720267,-2.0912290084050111,3.84213279e-11,2.418215,1.421917
0.94,-50.640352535141766,-2.1100146889642404,3.69415873e-11,2.415642,1.421917
0.96,-51.091660560742611,-2.1288191900309421,3.22284797e-11,2.447595,1.421917
0.98,-51.543408224520391,-2.1476420093550161,2.98302395e-11,2.414710,1.421917
1,-51.995583972396439,-2.1664826655165181,2.60091653e-11,2.452295,1.421917
1.02,-52.448176720760017,-2.1853406966983342,2.41375619e-11,2.414953,1.421917
1.04,-52.901175829285116,-2.2042156595535465,2.10951698e-11,2.450010,1.421917
1.06,-53.354571075804834,-2.2231071281585346,1.96569459e-11,2.416595,1.421917
1.08,-53.80835263305017,-2.2420146930437572,1.72398897e-11,2.483203,1.421917
1.1,-54.262511047083926,-2.2609379602951636,1.61408823e-11,2.389786,1.427231
1.12,-54.717037217276825,-2.2798765507198677,1.42239957e-11,2.486157,1.431213
1.14,-55.171922377689512,-2.2988300990703965,1.33878219e-11,2.413963,1.431213
1.16,-55.627158079739949,-2.3177982533224979,1.18621905e-11,2.483089,1.431213
1.18,-56.082736176045358,-2.3367806740018899,1.12201010e-11,2.419655,1.431213
1.2,-56.538648805340728,-2.3557770335558637,9.99531406e-12,2.446046,1.431213
1.22,-56.994888378386364,-2.3747870157660986,9.49780680e-12,2.378392,1.431213
1.24,-57.451447564782413,-2.3938103151992673,8.50330737e-12,2.412420,1.431213
1.26,-57.908319280620901,-2.4128466366925374,8.10650811e-12,2.379315,1.431213
1.28,-58.365496676906488,-2.4318956948711037,7.28204047e-12,2.380128,1.433842
1.3,-58.822973128689455,-2.4509572136953941,6.96209708e-12,2.380412,1.433853
1.32,-59.28074222485526,-2.4700309260356357,6.26334990e-12,2.346398,1.433853
1.34,-59.738797758521869,-2.4891165732717444,6.00084743e-12,2.381116,1.433853
1.36,-60.197133718000835,-2.5082139049167016,5.40025957e-12,2.347243,1.433880
1.38,-60.655744278279741,-2.527322678261656,5.18558804e-12,2.381672,1.433880
1.4,-61.114623792990642,-2.5464426580412769,4.68314204e-12,2.348495,1.433880
1.42,-61.573766786828614,-2.5655736161178591,4.49041411e-12,2.385683,1.433880
1.44,-62.033167948389874,-2.5847153311829114,4.07386667e-12,2.346321,1.433880
1.46,-62.492822123401098,-2.6038675884750457,3.89567982e-12,2.372201,1.433880
1.48,-62.952724308312625,-2.6230301795130262,3.54236785e-12,2.396486,1.433880
1.5,-63.412869644231918,-2.6422029018429964,3.38709822e-12,2.405687,1.433880
1.52,-63.873253411175114,-2.6613855587989632,3.08502179e-12,2.397590,1.433880
1.54,-64.333871022615227,-2.6805779592756345,2.95291223e-12,2.424089,1.433880
1.56,-64.794718020308849,-2.6997799175128687,2.69938210e-12,2.386769,1.433880
1.58,-65.255790069383096,-2.7189912528909623,2.57064728e-12,2.393416,1.433880
1.6,-65.717082953667727,-2.7382117897361553,2.36166769e-12,2.398738,1.433880
1.62,-66.178592571254967,-2.7574413571356238,2.24870473e-12,2.395694,1.433880
1.64,-66.640314930276702,-2.7766797887615291,2.07335415e-12,2.408904,1.433880
1.66,-67.102246144882187,-2.7959269227034245,1.97336563e-12,2.384581,1.433880
1.68,-67.564382431407324,-2.8151826013086385,1.82537132e-12,2.383180,1.433880
1.7,-68.026720104723239,-2.8344466710301348,1.71743965e-12,2.381566,1.433880
1.72,-68.48925557475286,-2.8537189822813693,1.60270123e-12,2.385600,1.433880
1.74,-68.951985343147641,-2.8729993892978185,1.52507558e-12,2.388253,1.433933
1.76,-69.414906000113604,-2.8922877500047335,1.43090699e-12,2.390055,1.433933
1.78,-69.87801422138044,-2.9115839258908518,1.35252684e-12,2.382203,1.433933
1.8,-70.341306765302988,-2.9308877818876247,1.26478161e-12,2.352079,1.433933
1.82,-70.804780470090833,-2.9501991862537849,1.19611915e-12,2.351953,1.433933
1.84,-71.268432251156781,-2.9695180104648657,1.10792439e-12,2.351173,1.433933
1.86,-71.732259098579121,-2.9888441291074632,1.06051150e-12,2.343618,1.433933
1.88,-72.196258074671078,-3.0081774197779616,9.78119208e-13,2.347130,1.433937
1.9,-72.660426311652401,-3.0275177629855166,9.25175713e-13,2.347307,1.433937
1.92,-73.124761009417,-3.0468650420590415,8.35680883e-13,2.382004,1.433937
1.94,-73.589259433392741,-3.066219143058031,8.35643921e-13,2.341642,1.433937
1.96,-74.053918912487475,-3.085579954686978,7.75311296e-13,2.401578,1.433937
1.98,-74.518736837118126,-3.1049473682132551,7.40892107e-13,2.420520,1.433937
2,-74.983710657318525,-3.124321277388272,6.96823656e-13,2.371323,1.433937
