# p si sj distance Re(initial) Im(initial) max_signed_residual
0 0 0 1 1.8782436766718362 0 1.9984014443252818e-15
1 0 0 2 -1.0659976457741116 0 1.2656542480726785e-14
2 0 0 3 1.757166014460033 0 1.2212453270876722e-14
3 0 0 4 -1.1177825855049612 0 2.886579864025407e-14
4 0 0 5 1.7284794805246293 0 8.8817841970012523e-15
5 0 0 6 -1.1359689287191026 0 2.5091040356528538e-14
6 0 0 7 1.7159480654968231 0 1.5543122344752192e-14
7 0 0 8 -1.1451063539312809 0 4.1300296516055823e-14
8 0 0 9 1.7090078324318179 0 2.6867397195928788e-14
9 0 0 10 -1.1505421181007833 0 1.2212453270876722e-14
10 0 0 11 1.7046478612004425 0 2.6645352591003757e-14
11 0 0 12 -1.1541057193490269 0 5.1070259132757201e-15
12 0 0 13 1.7016907682623652 0 1.7097434579227411e-14
13 0 0 14 -1.1565897650815609 0 2.4868995751603507e-14
14 0 0 15 1.6995832715730133 0 3.397282455352979e-14
15 0 0 16 -1.1583921598403113 0 1.3988810110276972e-14
16 0 0 17 1.6980320039758316 0 2.6645352591003757e-15
17 0 0 18 -1.1597337812861419 0 0
18 0 0 19 1.6968676793720214 0 1.1102230246251565e-14
19 0 0 20 -1.1607463522149775 0 2.886579864025407e-15
20 0 0 21 1.695986482406614 0 6.6613381477509392e-15
21 0 0 22 -1.1615125732785794 0 1.3322676295501878e-14
22 0 0 23 1.6953219569117248 0 4.4408920985006262e-15
23 0 0 24 -1.16208620608936 0 6.8833827526759706e-15
24 0 0 25 1.6948304113279087 0 1.3322676295501878e-15
25 0 0 26 -1.1625028356319398 0 4.4408920985006262e-15
26 0 0 27 1.6944828844507251 0 2.886579864025407e-15
27 0 0 28 -1.1627859264219864 0 6.6613381477509392e-15
28 0 0 29 1.6942605493018081 0 5.1070259132757201e-15
29 0 0 30 -1.1629503213501804 0 3.1086244689504383e-15
30 0 0 31 1.6941520549609774 0 3.7747582837255322e-15
31 0 0 32 -1.1630042417263349 0 0
32 0 1 0 0 0 0
33 0 1 1 0.089242149650632055 0 0
34 0 1 2 0.089242149650632055 0 0
35 0 1 3 0.089242149650632055 0 0
36 0 1 4 0.089242149650632055 0 0
37 0 1 5 0.089242149650632055 0 0
38 0 1 6 0.089242149650632055 0 0
39 0 1 7 0.089242149650632055 0 0
40 0 1 8 0.089242149650632055 0 0
41 0 1 9 0.089242149650632055 0 0
42 0 1 10 0.089242149650632055 0 0
43 0 1 11 0.089242149650632055 0 0
44 0 1 12 0.089242149650632055 0 0
45 0 1 13 0.089242149650632055 0 0
46 0 1 14 0.089242149650632055 0 0
47 0 1 15 0.089242149650632055 0 0
48 0 1 16 0.089242149650632055 0 0
49 0 1 17 0.089242149650632055 0 0
50 0 1 18 0.089242149650632055 0 0
51 0 1 19 0.089242149650632055 0 0
52 0 1 20 0.089242149650632055 0 0
53 0 1 21 0.089242149650632055 0 0
54 0 1 22 0.089242149650632055 0 0
55 0 1 23 0.089242149650632055 0 0
56 0 1 24 0.089242149650632055 0 0
57 0 1 25 0.089242149650632055 0 0
58 0 1 26 0.089242149650632055 0 0
59 0 1 27 0.089242149650632055 0 0
60 0 1 28 0.089242149650632055 0 0
61 0 1 29 0.089242149650632055 0 0
62 0 1 30 0.089242149650632055 0 0
63 0 1 31 0.089242149650632055 0 0
64 0 1 32 0.089242149650632055 0 0
65 1 1 1 0.74559017007956707 0 0
66 1 1 2 0.74559017007956707 0 0
67 1 1 3 0.74559017007956707 0 0
68 1 1 4 0.74559017007956707 0 0
69 1 1 5 0.74559017007956707 0 0
70 1 1 6 0.74559017007956707 0 0
71 1 1 7 0.74559017007956707 0 0
72 1 1 8 0.74559017007956707 0 0
73 1 1 9 0.74559017007956707 0 0
74 1 1 10 0.74559017007956707 0 0
75 1 1 11 0.74559017007956707 0 0
76 1 1 12 0.74559017007956707 0 0
77 1 1 13 0.74559017007956707 0 0
78 1 1 14 0.74559017007956707 0 0
79 1 1 15 0.74559017007956707 0 0
80 1 1 16 0.74559017007956707 0 0
81 1 1 17 0.74559017007956707 0 0
82 1 1 18 0.74559017007956707 0 0
83 1 1 19 0.74559017007956707 0 0
84 1 1 20 0.74559017007956707 0 0
85 1 1 21 0.74559017007956707 0 0
86 1 1 22 0.74559017007956707 0 0
87 1 1 23 0.74559017007956707 0 0
88 1 1 24 0.74559017007956707 0 0
89 1 1 25 0.74559017007956707 0 0
90 1 1 26 0.74559017007956707 0 0
91 1 1 27 0.74559017007956707 0 0
92 1 1 28 0.74559017007956707 0 0
93 1 1 29 0.74559017007956707 0 0
94 1 1 30 0.74559017007956707 0 0
95 1 1 31 0.74559017007956707 0 0
96 1 1 32 0.74559017007956707 0 0
